time,num_people,distance_dist
1601401678.6898186,0,[]
1601401693.6973379,0,[]
1601401708.6976867,0,[]
1601401723.6995707,0,[]
1601401738.711466,0,[]
1601401753.7234282,1,[0.0]
1601401768.7307873,0,[]
1601401783.735123,0,[]
1601401798.7380185,0,[]
1601401813.7495985,0,[]
1601401828.761527,1,[0.0]
1601401843.7633905,1,[0.0]
1601401858.7753553,2,"[0.12591502955545594, 0.12591502955545594]"
1601401873.778336,0,[]
1601401888.7794497,1,[0.0]
1601401903.7913594,1,[0.0]
1601401918.7990735,0,[]
1601401933.807581,0,[]
1601401948.8193476,0,[]
1601401963.8236766,0,[]
1601401978.8273313,0,[]
1601401995.3754537,0,[]
1601402010.3787231,0,[]
1601402025.390673,1,[0.0]
1601402040.4026191,0,[]
1601402055.4086921,1,[0.0]
1601402070.4202824,0,[]
1601402085.4317827,0,[]
1601402100.4345202,0,[]
1601402115.4459338,1,[0.0]
1601402130.4569366,1,[0.0]
1601402145.4678037,2,"[0.04246538276031145, 0.04246538276031145]"
1601402160.4730356,1,[0.0]
1601402175.4847558,1,[0.0]
1601402190.488777,1,[0.0]
1601402205.4890172,1,[0.0]
1601402220.5007193,1,[0.0]
1601402235.512337,1,[0.0]
1601402250.5241287,0,[]
1601402265.5360625,0,[]
1601402280.5481045,2,"[0.019782399457412593, 0.019782399457412593]"
1601402295.5595138,0,[]
1601402310.5714529,0,[]
1601402327.0769262,1,[0.0]
1601402342.077735,0,[]
1601402357.080717,0,[]
1601402372.0923932,0,[]
1601402387.1044168,1,[0.0]
1601402402.1122568,0,[]
1601402417.1236198,0,[]
1601402432.135153,0,[]
1601402447.1388197,1,[0.0]
1601402463.8473265,1,[0.0]
1601402478.8573442,2,"[0.0033773117677806533, 0.0033773117677806533]"
1601402493.8653111,1,[0.0]
1601402508.871796,1,[0.0]
1601402523.8813384,3,"[0.0073822075525113336, 0.0073822075525113336, 0.008219642926530785]"
1601402538.8922877,2,"[0.041589280565983405, 0.041589280565983405]"
1601402553.8997235,0,[]
1601402568.9116735,2,"[0.005524495659131555, 0.005524495659131555]"
1601402583.917249,1,[0.0]
1601402598.9226568,2,"[0.12123174745210413, 0.12123174745210413]"
1601402613.932116,1,[0.0]
1601402628.9323668,2,"[0.02062990894772063, 0.02062990894772063]"
1601402643.944144,2,"[0.004673573638252469, 0.004673573638252469]"
1601402658.954724,0,[]
1601402673.9667208,0,[]
1601402688.9723737,4,"[0.036435043039835774, 0.03754936400462857, 0.036435043039835774, 0.03754936400462857]"
1601402703.9733431,2,"[0.09142661442607157, 0.09142661442607157]"
1601402718.985157,0,[]
1601402733.997168,2,"[0.11663733984939126, 0.11663733984939126]"
1601402749.0013385,2,"[0.10179606083120774, 0.10179606083120774]"
1601402764.0130591,1,[0.0]
1601402779.0184605,1,[0.0]
1601402794.029087,0,[]
1601402809.0407307,1,[0.0]
1601402824.046068,1,[0.0]
1601402839.057775,1,[0.0]
